"decklist","decklist_id","scenario","bool_going_first","num_replicates","hit_rate","turn1_rate","num_turn1","num_turn2","num_never","mulligan_rate","mean_mulligans","unmet_a","unmet_b","unmet_c","unmet_d","num_unused_out"
"decklist1","dl_2fe2ca07","clear",FALSE,1000,0.621,0,0,621,379,0.136,0.154,102,258,323,320,200
"decklist1","dl_2fe2ca07","clear",TRUE,1000,0.527,0,0,527,473,0.136,0.154,124,331,406,404,252
"decklist1","dl_2fe2ca07","item_lock",TRUE,1000,0.451,0,0,451,549,0.136,0.154,165,345,484,422,169
"decklist2","dl_764c9b9c","clear",FALSE,1000,0.778,0.031,31,747,222,0.135,0.149,43,137,159,201,96
"decklist2","dl_764c9b9c","clear",TRUE,1000,0.639,0,0,639,361,0.135,0.149,50,258,287,338,183
"decklist2","dl_764c9b9c","item_lock",TRUE,1000,0.612,0,0,612,388,0.135,0.149,66,280,328,356,75
"decklist3","dl_66a1adbd","clear",FALSE,1000,0.759,0.029,29,730,241,0.161,0.197,46,145,164,228,113
"decklist3","dl_66a1adbd","clear",TRUE,1000,0.626,0,0,626,374,0.161,0.197,44,256,276,359,180
"decklist3","dl_66a1adbd","item_lock",TRUE,1000,0.604,0,0,604,396,0.161,0.197,75,277,307,375,78
"decklist4","dl_28583386","clear",FALSE,1000,0.778,0.031,31,747,222,0.135,0.149,43,136,158,201,96
"decklist4","dl_28583386","clear",TRUE,1000,0.646,0,0,646,354,0.135,0.149,50,253,282,331,179
"decklist4","dl_28583386","item_lock",TRUE,1000,0.618,0,0,618,382,0.135,0.149,66,276,324,349,76
"decklist5","dl_4c2d5ab6","clear",FALSE,1000,0.805,0.041,41,764,195,0.149,0.184,16,117,140,173,94
"decklist5","dl_4c2d5ab6","clear",TRUE,1000,0.685,0,0,685,315,0.149,0.184,31,227,256,287,171
"decklist5","dl_4c2d5ab6","item_lock",TRUE,1000,0.656,0,0,656,344,0.149,0.184,47,236,292,293,87
"decklist6","dl_76794ffe","clear",FALSE,1000,0.758,0,0,758,242,0.141,0.174,38,157,173,232,114
"decklist6","dl_76794ffe","clear",TRUE,1000,0.617,0,0,617,383,0.141,0.174,43,281,299,370,192
"decklist6","dl_76794ffe","item_lock",TRUE,1000,0.592,0,0,592,408,0.141,0.174,74,304,330,389,78
"decklist7","dl_3305415c","clear",FALSE,1000,0.805,0.033,33,772,195,0.161,0.183,8,121,131,188,95
"decklist7","dl_3305415c","clear",TRUE,1000,0.672,0,0,672,328,0.161,0.183,17,242,257,322,168
"decklist7","dl_3305415c","item_lock",TRUE,1000,0.651,0,0,651,349,0.161,0.183,21,253,277,338,57
"decklist8","dl_2f211242","clear",FALSE,1000,0.795,0.041,41,754,205,0.157,0.176,6,114,123,198,85
"decklist8","dl_2f211242","clear",TRUE,1000,0.663,0,0,663,337,0.157,0.176,16,243,257,331,171
"decklist8","dl_2f211242","item_lock",TRUE,1000,0.64,0,0,640,360,0.157,0.176,19,263,285,349,60
